,Prompt,Answer
92,"Your current position: (3,3), you have to reach (1,3).",up
93,"Your current position: (2,3), you have to reach (1,3).",up
94,"Your current position: (2,1), you have to reach (0,2).",up
95,"Your current position: (1,1), you have to reach (0,2).",right
96,"Your current position: (1,2), you have to reach (0,2).",up
97,"Your current position: (1,1), you have to reach (2,2).",right
98,"Your current position: (1,2), you have to reach (2,2).",down
99,"Your current position: (0,1), you have to reach (0,3).",right
100,"Your current position: (0,2), you have to reach (0,3).",right
101,"Your current position: (1,2), you have to reach (2,1).",left
102,"Your current position: (1,1), you have to reach (2,1).",down
103,"Your current position: (1,2), you have to reach (0,3).",right
104,"Your current position: (1,3), you have to reach (0,3).",up
105,"Your current position: (1,0), you have to reach (3,1).",down
106,"Your current position: (2,0), you have to reach (3,1).",right
107,"Your current position: (2,1), you have to reach (3,1).",down
108,"Your current position: (3,1), you have to reach (1,3).",right
109,"Your current position: (3,2), you have to reach (1,3).",up
110,"Your current position: (2,2), you have to reach (1,3).",right
111,"Your current position: (2,3), you have to reach (1,3).",up
112,"Your current position: (3,0), you have to reach (0,2).",up
113,"Your current position: (2,0), you have to reach (0,2).",right
114,"Your current position: (2,1), you have to reach (0,2).",up
115,"Your current position: (1,1), you have to reach (0,2).",right
116,"Your current position: (1,2), you have to reach (0,2).",up
117,"Your current position: (3,2), you have to reach (3,0).",left
118,"Your current position: (3,1), you have to reach (3,0).",left
119,"Your current position: (1,2), you have to reach (3,0).",left
120,"Your current position: (1,1), you have to reach (3,0).",down
121,"Your current position: (2,1), you have to reach (3,0).",left
122,"Your current position: (2,0), you have to reach (3,0).",down
123,"Your current position: (1,3), you have to reach (3,3).",down
124,"Your current position: (2,3), you have to reach (3,3).",down
125,"Your current position: (1,0), you have to reach (1,3).",right
126,"Your current position: (1,1), you have to reach (1,3).",right
127,"Your current position: (1,2), you have to reach (1,3).",right
128,"Your current position: (0,0), you have to reach (2,0).",down
129,"Your current position: (1,0), you have to reach (2,0).",down
130,"Your current position: (1,2), you have to reach (2,3).",right
131,"Your current position: (1,3), you have to reach (2,3).",down
132,"Your current position: (0,2), you have to reach (2,0).",left
133,"Your current position: (0,1), you have to reach (2,0).",down
134,"Your current position: (1,1), you have to reach (2,0).",left
135,"Your current position: (1,0), you have to reach (2,0).",down
136,"Your current position: (0,2), you have to reach (1,0).",left
137,"Your current position: (0,1), you have to reach (1,0).",left
138,"Your current position: (0,0), you have to reach (1,0).",down
139,"Your current position: (1,0), you have to reach (0,0).",up
140,"Your current position: (1,1), you have to reach (0,3).",right
141,"Your current position: (1,2), you have to reach (0,3).",right
142,"Your current position: (1,3), you have to reach (0,3).",up
143,"Your current position: (2,0), you have to reach (1,2).",right
144,"Your current position: (2,1), you have to reach (1,2).",right
145,"Your current position: (2,2), you have to reach (1,2).",up
146,"Your current position: (1,0), you have to reach (2,3).",right
147,"Your current position: (1,1), you have to reach (2,3).",right
148,"Your current position: (1,2), you have to reach (2,3).",right
149,"Your current position: (1,3), you have to reach (2,3).",down
150,"Your current position: (3,0), you have to reach (3,2).",right
151,"Your current position: (3,1), you have to reach (3,2).",right
152,"Your current position: (3,3), you have to reach (2,3).",up
153,"Your current position: (1,2), you have to reach (0,3).",right
154,"Your current position: (1,3), you have to reach (0,3).",up
155,"Your current position: (1,0), you have to reach (3,2).",right
156,"Your current position: (1,1), you have to reach (3,2).",down
157,"Your current position: (2,1), you have to reach (3,2).",right
158,"Your current position: (2,2), you have to reach (3,2).",down
159,"Your current position: (3,1), you have to reach (3,2).",right
160,"Your current position: (2,2), you have to reach (1,2).",up
161,"Your current position: (1,0), you have to reach (0,2).",right
162,"Your current position: (1,1), you have to reach (0,2).",right
163,"Your current position: (1,2), you have to reach (0,2).",up
164,"Your current position: (2,2), you have to reach (0,3).",up
165,"Your current position: (1,2), you have to reach (0,3).",right
166,"Your current position: (1,3), you have to reach (0,3).",up
167,"Your current position: (0,0), you have to reach (3,3).",right
168,"Your current position: (0,1), you have to reach (3,3).",down
169,"Your current position: (1,1), you have to reach (3,3).",right
170,"Your current position: (1,2), you have to reach (3,3).",down
171,"Your current position: (2,2), you have to reach (3,3).",right
172,"Your current position: (2,3), you have to reach (3,3).",down
173,"Your current position: (2,3), you have to reach (1,3).",up
174,"Your current position: (1,0), you have to reach (3,3).",right
175,"Your current position: (1,1), you have to reach (3,3).",right
176,"Your current position: (1,2), you have to reach (3,3).",down
177,"Your current position: (2,2), you have to reach (3,3).",right
178,"Your current position: (2,3), you have to reach (3,3).",down
179,"Your current position: (0,3), you have to reach (1,3).",down
180,"Your current position: (2,0), you have to reach (1,1).",right
181,"Your current position: (2,1), you have to reach (1,1).",up
182,"Your current position: (1,3), you have to reach (2,2).",left
183,"Your current position: (1,2), you have to reach (2,2).",down
184,"Your current position: (1,3), you have to reach (1,1).",left
185,"Your current position: (1,2), you have to reach (1,1).",left
186,"Your current position: (0,1), you have to reach (2,0).",down
187,"Your current position: (1,1), you have to reach (2,0).",left
188,"Your current position: (1,0), you have to reach (2,0).",down
189,"Your current position: (1,0), you have to reach (2,3).",right
190,"Your current position: (1,1), you have to reach (2,3).",right
191,"Your current position: (1,2), you have to reach (2,3).",right
192,"Your current position: (1,3), you have to reach (2,3).",down
193,"Your current position: (1,2), you have to reach (2,1).",left
194,"Your current position: (1,1), you have to reach (2,1).",down
195,"Your current position: (2,3), you have to reach (3,3).",down
196,"Your current position: (2,2), you have to reach (0,0).",left
197,"Your current position: (2,1), you have to reach (0,0).",up
198,"Your current position: (1,1), you have to reach (0,0).",left
199,"Your current position: (1,0), you have to reach (0,0).",up
200,"Your current position: (1,2), you have to reach (3,0).",left
201,"Your current position: (1,1), you have to reach (3,0).",down
202,"Your current position: (2,1), you have to reach (3,0).",left
203,"Your current position: (2,0), you have to reach (3,0).",down
204,"Your current position: (3,1), you have to reach (2,1).",up
205,"Your current position: (2,3), you have to reach (3,1).",left
206,"Your current position: (2,2), you have to reach (3,1).",left
207,"Your current position: (2,1), you have to reach (3,1).",down
208,"Your current position: (2,2), you have to reach (3,3).",right
209,"Your current position: (2,3), you have to reach (3,3).",down
210,"Your current position: (0,1), you have to reach (2,1).",down
211,"Your current position: (1,1), you have to reach (2,1).",down
212,"Your current position: (1,3), you have to reach (1,2).",left
213,"Your current position: (3,2), you have to reach (0,2).",up
214,"Your current position: (2,2), you have to reach (0,2).",up
215,"Your current position: (1,2), you have to reach (0,2).",up
216,"Your current position: (2,0), you have to reach (2,1).",right
217,"Your current position: (1,1), you have to reach (2,1).",down
218,"Your current position: (2,0), you have to reach (0,3).",right
219,"Your current position: (2,1), you have to reach (0,3).",right
220,"Your current position: (2,2), you have to reach (0,3).",up
221,"Your current position: (1,2), you have to reach (0,3).",right
222,"Your current position: (1,3), you have to reach (0,3).",up
223,"Your current position: (3,0), you have to reach (3,2).",right
224,"Your current position: (3,1), you have to reach (3,2).",right
225,"Your current position: (2,0), you have to reach (2,2).",right
226,"Your current position: (2,1), you have to reach (2,2).",right
227,"Your current position: (0,0), you have to reach (2,3).",right
228,"Your current position: (0,1), you have to reach (2,3).",right
229,"Your current position: (0,2), you have to reach (2,3).",down
230,"Your current position: (1,2), you have to reach (2,3).",right
231,"Your current position: (1,3), you have to reach (2,3).",down
232,"Your current position: (1,1), you have to reach (3,3).",right
233,"Your current position: (1,2), you have to reach (3,3).",down
234,"Your current position: (2,2), you have to reach (3,3).",right
235,"Your current position: (2,3), you have to reach (3,3).",down
236,"Your current position: (1,3), you have to reach (2,0).",left
237,"Your current position: (1,2), you have to reach (2,0).",left
238,"Your current position: (1,1), you have to reach (2,0).",left
239,"Your current position: (1,0), you have to reach (2,0).",down
240,"Your current position: (2,2), you have to reach (2,1).",left
241,"Your current position: (3,1), you have to reach (0,0).",up
242,"Your current position: (2,1), you have to reach (0,0).",up
243,"Your current position: (1,1), you have to reach (0,0).",left
244,"Your current position: (1,0), you have to reach (0,0).",up
245,"Your current position: (1,2), you have to reach (2,0).",left
246,"Your current position: (1,1), you have to reach (2,0).",left
247,"Your current position: (1,0), you have to reach (2,0).",down
248,"Your current position: (3,3), you have to reach (0,3).",up
249,"Your current position: (2,3), you have to reach (0,3).",up
250,"Your current position: (1,3), you have to reach (0,3).",up
251,"Your current position: (1,0), you have to reach (0,0).",up
252,"Your current position: (3,2), you have to reach (3,3).",right
253,"Your current position: (3,2), you have to reach (1,0).",left
254,"Your current position: (3,1), you have to reach (1,0).",up
255,"Your current position: (2,1), you have to reach (1,0).",left
256,"Your current position: (2,0), you have to reach (1,0).",up
257,"Your current position: (1,1), you have to reach (0,2).",right
258,"Your current position: (1,2), you have to reach (0,2).",up
259,"Your current position: (0,0), you have to reach (2,1).",down
260,"Your current position: (1,0), you have to reach (2,1).",right
261,"Your current position: (1,1), you have to reach (2,1).",down
262,"Your current position: (2,1), you have to reach (3,2).",right
263,"Your current position: (2,2), you have to reach (3,2).",down
264,"Your current position: (1,3), you have to reach (3,0).",left
265,"Your current position: (1,2), you have to reach (3,0).",left
266,"Your current position: (1,1), you have to reach (3,0).",down
267,"Your current position: (2,1), you have to reach (3,0).",left
268,"Your current position: (2,0), you have to reach (3,0).",down
269,"Your current position: (1,3), you have to reach (2,0).",left
270,"Your current position: (1,2), you have to reach (2,0).",left
271,"Your current position: (1,1), you have to reach (2,0).",left
272,"Your current position: (1,0), you have to reach (2,0).",down
273,"Your current position: (1,0), you have to reach (2,3).",right
274,"Your current position: (1,1), you have to reach (2,3).",right
275,"Your current position: (1,2), you have to reach (2,3).",right
276,"Your current position: (1,3), you have to reach (2,3).",down
277,"Your current position: (2,2), you have to reach (0,0).",left
278,"Your current position: (2,1), you have to reach (0,0).",up
279,"Your current position: (1,1), you have to reach (0,0).",left
280,"Your current position: (1,0), you have to reach (0,0).",up
281,"Your current position: (0,1), you have to reach (0,0).",left
282,"Your current position: (3,0), you have to reach (1,1).",up
283,"Your current position: (2,0), you have to reach (1,1).",right
284,"Your current position: (2,1), you have to reach (1,1).",up
285,"Your current position: (0,0), you have to reach (3,2).",down
286,"Your current position: (1,0), you have to reach (3,2).",right
287,"Your current position: (1,1), you have to reach (3,2).",down
288,"Your current position: (2,1), you have to reach (3,2).",right
289,"Your current position: (2,2), you have to reach (3,2).",down
290,"Your current position: (2,2), you have to reach (3,3).",right
291,"Your current position: (2,3), you have to reach (3,3).",down
292,"Your current position: (2,3), you have to reach (3,3).",down
293,"Your current position: (2,0), you have to reach (0,2).",right
294,"Your current position: (2,1), you have to reach (0,2).",up
295,"Your current position: (1,1), you have to reach (0,2).",right
296,"Your current position: (1,2), you have to reach (0,2).",up
297,"Your current position: (2,2), you have to reach (2,3).",right
298,"Your current position: (3,1), you have to reach (1,0).",up
299,"Your current position: (2,1), you have to reach (1,0).",left
300,"Your current position: (2,0), you have to reach (1,0).",up
301,"Your current position: (0,0), you have to reach (2,2).",right
302,"Your current position: (0,1), you have to reach (2,2).",down
303,"Your current position: (1,1), you have to reach (2,2).",right
304,"Your current position: (1,2), you have to reach (2,2).",down
305,"Your current position: (1,0), you have to reach (3,0).",down
306,"Your current position: (2,0), you have to reach (3,0).",down
307,"Your current position: (0,3), you have to reach (2,3).",down
308,"Your current position: (1,3), you have to reach (2,3).",down
309,"Your current position: (0,2), you have to reach (3,3).",down
310,"Your current position: (1,2), you have to reach (3,3).",down
311,"Your current position: (2,2), you have to reach (3,3).",right
312,"Your current position: (2,3), you have to reach (3,3).",down
313,"Your current position: (0,2), you have to reach (3,2).",down
314,"Your current position: (1,2), you have to reach (3,2).",down
315,"Your current position: (2,2), you have to reach (3,2).",down
316,"Your current position: (1,2), you have to reach (3,3).",down
317,"Your current position: (2,2), you have to reach (3,3).",right
318,"Your current position: (2,3), you have to reach (3,3).",down
319,"Your current position: (1,0), you have to reach (0,2).",right
320,"Your current position: (1,1), you have to reach (0,2).",right
321,"Your current position: (1,2), you have to reach (0,2).",up
322,"Your current position: (0,2), you have to reach (2,3).",down
323,"Your current position: (1,2), you have to reach (2,3).",right
324,"Your current position: (1,3), you have to reach (2,3).",down
325,"Your current position: (3,0), you have to reach (0,2).",up
326,"Your current position: (2,0), you have to reach (0,2).",right
327,"Your current position: (2,1), you have to reach (0,2).",up
328,"Your current position: (1,1), you have to reach (0,2).",right
329,"Your current position: (1,2), you have to reach (0,2).",up
330,"Your current position: (1,3), you have to reach (1,2).",left
331,"Your current position: (0,3), you have to reach (0,2).",left
332,"Your current position: (3,1), you have to reach (0,1).",up
333,"Your current position: (2,1), you have to reach (0,1).",up
334,"Your current position: (1,1), you have to reach (0,1).",up
335,"Your current position: (2,1), you have to reach (3,0).",left
336,"Your current position: (2,0), you have to reach (3,0).",down
337,"Your current position: (1,1), you have to reach (1,3).",right
338,"Your current position: (1,2), you have to reach (1,3).",right
339,"Your current position: (0,3), you have to reach (1,3).",down
340,"Your current position: (3,3), you have to reach (1,0).",left
341,"Your current position: (3,2), you have to reach (1,0).",left
342,"Your current position: (3,1), you have to reach (1,0).",up
343,"Your current position: (2,1), you have to reach (1,0).",left
344,"Your current position: (2,0), you have to reach (1,0).",up
345,"Your current position: (3,1), you have to reach (3,2).",right
346,"Your current position: (1,3), you have to reach (2,2).",left
347,"Your current position: (1,2), you have to reach (2,2).",down
348,"Your current position: (2,2), you have to reach (3,2).",down
349,"Your current position: (3,3), you have to reach (2,2).",left
350,"Your current position: (3,2), you have to reach (2,2).",up
351,"Your current position: (2,1), you have to reach (2,3).",right
352,"Your current position: (2,2), you have to reach (2,3).",right
353,"Your current position: (3,1), you have to reach (1,1).",up
354,"Your current position: (2,1), you have to reach (1,1).",up
355,"Your current position: (1,1), you have to reach (2,3).",right
356,"Your current position: (1,2), you have to reach (2,3).",right
357,"Your current position: (1,3), you have to reach (2,3).",down
358,"Your current position: (0,0), you have to reach (3,2).",down
359,"Your current position: (1,0), you have to reach (3,2).",right
360,"Your current position: (1,1), you have to reach (3,2).",down
361,"Your current position: (2,1), you have to reach (3,2).",right
362,"Your current position: (2,2), you have to reach (3,2).",down
363,"Your current position: (0,0), you have to reach (2,2).",right
364,"Your current position: (0,1), you have to reach (2,2).",down
365,"Your current position: (1,1), you have to reach (2,2).",right
366,"Your current position: (1,2), you have to reach (2,2).",down
367,"Your current position: (2,0), you have to reach (1,0).",up
368,"Your current position: (2,1), you have to reach (2,2).",right
369,"Your current position: (2,2), you have to reach (2,0).",left
370,"Your current position: (2,1), you have to reach (2,0).",left
371,"Your current position: (2,3), you have to reach (3,2).",left
372,"Your current position: (2,2), you have to reach (3,2).",down
373,"Your current position: (1,2), you have to reach (2,1).",left
374,"Your current position: (1,1), you have to reach (2,1).",down
375,"Your current position: (1,3), you have to reach (2,3).",down
376,"Your current position: (0,0), you have to reach (0,1).",right
377,"Your current position: (3,2), you have to reach (1,2).",up
378,"Your current position: (2,2), you have to reach (1,2).",up
379,"Your current position: (0,2), you have to reach (0,3).",right
380,"Your current position: (2,0), you have to reach (3,1).",right
381,"Your current position: (2,1), you have to reach (3,1).",down
382,"Your current position: (3,1), you have to reach (0,1).",up
383,"Your current position: (2,1), you have to reach (0,1).",up
384,"Your current position: (1,1), you have to reach (0,1).",up
385,"Your current position: (3,1), you have to reach (0,0).",up
386,"Your current position: (2,1), you have to reach (0,0).",up
387,"Your current position: (1,1), you have to reach (0,0).",left
388,"Your current position: (1,0), you have to reach (0,0).",up
389,"Your current position: (3,3), you have to reach (0,3).",up
390,"Your current position: (2,3), you have to reach (0,3).",up
391,"Your current position: (1,3), you have to reach (0,3).",up
392,"Your current position: (3,1), you have to reach (2,2).",right
393,"Your current position: (3,2), you have to reach (2,2).",up
394,"Your current position: (2,2), you have to reach (2,0).",left
395,"Your current position: (2,1), you have to reach (2,0).",left
396,"Your current position: (0,3), you have to reach (3,2).",down
397,"Your current position: (1,3), you have to reach (3,2).",down
398,"Your current position: (2,3), you have to reach (3,2).",left
399,"Your current position: (2,2), you have to reach (3,2).",down
400,"Your current position: (1,1), you have to reach (0,0).",left
401,"Your current position: (1,0), you have to reach (0,0).",up
402,"Your current position: (2,0), you have to reach (2,1).",right
403,"Your current position: (3,1), you have to reach (2,2).",right
404,"Your current position: (3,2), you have to reach (2,2).",up
405,"Your current position: (0,0), you have to reach (1,0).",down
406,"Your current position: (1,0), you have to reach (1,1).",right
407,"Your current position: (0,2), you have to reach (2,1).",down
408,"Your current position: (1,2), you have to reach (2,1).",left
409,"Your current position: (1,1), you have to reach (2,1).",down
410,"Your current position: (0,2), you have to reach (1,0).",left
411,"Your current position: (0,1), you have to reach (1,0).",left
412,"Your current position: (0,0), you have to reach (1,0).",down
413,"Your current position: (3,3), you have to reach (1,0).",left
414,"Your current position: (3,2), you have to reach (1,0).",left
415,"Your current position: (3,1), you have to reach (1,0).",up
416,"Your current position: (2,1), you have to reach (1,0).",left
417,"Your current position: (2,0), you have to reach (1,0).",up
418,"Your current position: (1,2), you have to reach (2,1).",left
419,"Your current position: (1,1), you have to reach (2,1).",down
420,"Your current position: (2,2), you have to reach (3,2).",down
421,"Your current position: (3,3), you have to reach (3,1).",left
422,"Your current position: (3,2), you have to reach (3,1).",left
423,"Your current position: (2,0), you have to reach (1,3).",right
424,"Your current position: (2,1), you have to reach (1,3).",right
425,"Your current position: (2,2), you have to reach (1,3).",right
426,"Your current position: (2,3), you have to reach (1,3).",up
427,"Your current position: (3,1), you have to reach (0,1).",up
428,"Your current position: (2,1), you have to reach (0,1).",up
429,"Your current position: (1,1), you have to reach (0,1).",up
430,"Your current position: (2,3), you have to reach (1,3).",up
431,"Your current position: (1,3), you have to reach (3,1).",left
432,"Your current position: (1,2), you have to reach (3,1).",down
433,"Your current position: (2,2), you have to reach (3,1).",left
434,"Your current position: (2,1), you have to reach (3,1).",down
435,"Your current position: (3,1), you have to reach (0,2).",up
436,"Your current position: (2,1), you have to reach (0,2).",up
437,"Your current position: (1,1), you have to reach (0,2).",right
438,"Your current position: (1,2), you have to reach (0,2).",up
439,"Your current position: (0,0), you have to reach (1,1).",right
440,"Your current position: (0,1), you have to reach (1,1).",down
441,"Your current position: (1,1), you have to reach (0,1).",up
442,"Your current position: (0,1), you have to reach (3,1).",down
443,"Your current position: (1,1), you have to reach (3,1).",down
444,"Your current position: (2,1), you have to reach (3,1).",down
445,"Your current position: (1,3), you have to reach (1,0).",left
446,"Your current position: (1,2), you have to reach (1,0).",left
447,"Your current position: (1,1), you have to reach (1,0).",left
448,"Your current position: (0,0), you have to reach (1,2).",right
449,"Your current position: (0,1), you have to reach (1,2).",right
450,"Your current position: (0,2), you have to reach (1,2).",down
451,"Your current position: (2,3), you have to reach (2,0).",left
452,"Your current position: (2,2), you have to reach (2,0).",left
453,"Your current position: (2,1), you have to reach (2,0).",left
454,"Your current position: (3,1), you have to reach (1,3).",right
455,"Your current position: (3,2), you have to reach (1,3).",up
456,"Your current position: (2,2), you have to reach (1,3).",right
457,"Your current position: (2,3), you have to reach (1,3).",up
458,"Your current position: (0,2), you have to reach (3,1).",down
459,"Your current position: (1,2), you have to reach (3,1).",down
460,"Your current position: (2,2), you have to reach (3,1).",left
461,"Your current position: (2,1), you have to reach (3,1).",down
462,"Your current position: (1,2), you have to reach (0,2).",up
463,"Your current position: (1,2), you have to reach (0,0).",left
464,"Your current position: (1,1), you have to reach (0,0).",left
465,"Your current position: (1,0), you have to reach (0,0).",up
466,"Your current position: (3,3), you have to reach (3,2).",left
467,"Your current position: (0,0), you have to reach (3,3).",right
468,"Your current position: (0,1), you have to reach (3,3).",down
469,"Your current position: (1,1), you have to reach (3,3).",right
470,"Your current position: (1,2), you have to reach (3,3).",down
471,"Your current position: (2,2), you have to reach (3,3).",right
472,"Your current position: (2,3), you have to reach (3,3).",down
473,"Your current position: (1,2), you have to reach (1,1).",left
474,"Your current position: (2,0), you have to reach (0,1).",up
475,"Your current position: (1,0), you have to reach (0,1).",right
476,"Your current position: (1,1), you have to reach (0,1).",up
477,"Your current position: (0,0), you have to reach (2,3).",right
478,"Your current position: (0,1), you have to reach (2,3).",right
479,"Your current position: (0,2), you have to reach (2,3).",down
480,"Your current position: (1,2), you have to reach (2,3).",right
481,"Your current position: (1,3), you have to reach (2,3).",down
482,"Your current position: (3,3), you have to reach (3,2).",left
483,"Your current position: (1,2), you have to reach (0,3).",right
484,"Your current position: (1,3), you have to reach (0,3).",up
485,"Your current position: (1,2), you have to reach (3,2).",down
486,"Your current position: (2,2), you have to reach (3,2).",down
487,"Your current position: (2,0), you have to reach (1,1).",right
488,"Your current position: (2,1), you have to reach (1,1).",up
489,"Your current position: (2,3), you have to reach (3,2).",left
490,"Your current position: (2,2), you have to reach (3,2).",down
491,"Your current position: (0,3), you have to reach (0,2).",left
492,"Your current position: (3,3), you have to reach (1,1).",left
493,"Your current position: (3,2), you have to reach (1,1).",up
494,"Your current position: (2,2), you have to reach (1,1).",left
495,"Your current position: (2,1), you have to reach (1,1).",up
496,"Your current position: (0,3), you have to reach (1,0).",left
497,"Your current position: (0,2), you have to reach (1,0).",left
498,"Your current position: (0,1), you have to reach (1,0).",left
499,"Your current position: (0,0), you have to reach (1,0).",down
500,"Your current position: (3,2), you have to reach (0,3).",up
501,"Your current position: (2,2), you have to reach (0,3).",up
502,"Your current position: (1,2), you have to reach (0,3).",right
503,"Your current position: (1,3), you have to reach (0,3).",up
504,"Your current position: (1,2), you have to reach (3,1).",down
505,"Your current position: (2,2), you have to reach (3,1).",left
506,"Your current position: (2,1), you have to reach (3,1).",down
507,"Your current position: (0,2), you have to reach (1,2).",down
508,"Your current position: (0,2), you have to reach (1,0).",left
509,"Your current position: (0,1), you have to reach (1,0).",left
510,"Your current position: (0,0), you have to reach (1,0).",down
511,"Your current position: (3,1), you have to reach (2,1).",up
512,"Your current position: (2,2), you have to reach (1,1).",left
513,"Your current position: (2,1), you have to reach (1,1).",up
514,"Your current position: (0,1), you have to reach (0,0).",left
515,"Your current position: (3,0), you have to reach (2,1).",right
516,"Your current position: (3,1), you have to reach (2,1).",up
517,"Your current position: (0,2), you have to reach (1,1).",left
518,"Your current position: (0,1), you have to reach (1,1).",down
519,"Your current position: (3,1), you have to reach (2,1).",up
520,"Your current position: (1,2), you have to reach (0,3).",right
521,"Your current position: (1,3), you have to reach (0,3).",up
522,"Your current position: (2,0), you have to reach (3,0).",down
523,"Your current position: (3,1), you have to reach (3,0).",left
524,"Your current position: (3,1), you have to reach (3,3).",right
525,"Your current position: (3,2), you have to reach (3,3).",right
526,"Your current position: (0,3), you have to reach (1,0).",left
527,"Your current position: (0,2), you have to reach (1,0).",left
528,"Your current position: (0,1), you have to reach (1,0).",left
529,"Your current position: (0,0), you have to reach (1,0).",down
530,"Your current position: (2,3), you have to reach (0,0).",left
531,"Your current position: (2,2), you have to reach (0,0).",left
532,"Your current position: (2,1), you have to reach (0,0).",up
533,"Your current position: (1,1), you have to reach (0,0).",left
534,"Your current position: (1,0), you have to reach (0,0).",up
535,"Your current position: (0,0), you have to reach (0,2).",right
536,"Your current position: (0,1), you have to reach (0,2).",right
